model,track,stem,SDR,SI-SDR,PQ,CE,CU,inference_time_sec
BS_RoFormer,track_017,bass,0.2909,-2.2449,5.174674034118652,4.0815863609313965,5.408559799194336,2.2669345749891363
BS_RoFormer,track_017,other,4.6824,2.7689,5.806419849395752,5.839599609375,6.5392913818359375,2.2669345749891363
BS_RoFormer,track_018,vocals,7.8816,8.3928,6.709409236907959,4.993444442749023,5.995479583740234,3.3537991190096363
BS_RoFormer,track_018,drums,12.1062,12.5043,7.610659599304199,6.157726764678955,7.859044075012207,3.3537991190096363
BS_RoFormer,track_018,bass,8.3586,7.7112,6.652071952819824,3.587442636489868,6.488155841827393,3.3537991190096363
BS_RoFormer,track_018,other,7.3092,7.3921,6.973381519317627,6.565825462341309,7.16991662979126,3.3537991190096363
BS_RoFormer,track_019,vocals,11.7936,11.1833,6.297235488891602,4.802650451660156,5.453338146209717,4.35525115596829
BS_RoFormer,track_019,drums,16.8898,17.9477,7.6911749839782715,6.389678001403809,7.945112705230713,4.35525115596829
BS_RoFormer,track_019,bass,3.7858,2.0095,6.999273777008057,4.71995735168457,6.639423370361328,4.35525115596829
BS_RoFormer,track_019,other,7.9603,6.3261,7.0859904289245605,6.737429618835449,7.3238348960876465,4.35525115596829
BS_RoFormer,track_020,vocals,16.6835,17.6444,7.404619216918945,5.085881233215332,6.366419792175293,4.617164121009409
BS_RoFormer,track_020,drums,17.7730,18.8439,7.925046443939209,6.398367404937744,7.890440464019775,4.617164121009409
BS_RoFormer,track_020,bass,19.4541,19.8701,7.10487174987793,3.055760622024536,6.8128581047058105,4.617164121009409
BS_RoFormer,track_020,other,10.7592,8.9630,7.838734149932861,6.801018714904785,7.797398090362549,4.617164121009409
BS_RoFormer,track_021,vocals,10.5765,11.8085,6.8018341064453125,4.121554851531982,6.020493984222412,4.801142328011338
BS_RoFormer,track_021,drums,11.3583,11.9253,7.274738788604736,6.29184103012085,7.826992034912109,4.801142328011338
BS_RoFormer,track_021,bass,10.8390,10.6132,5.98531436920166,4.593755722045898,5.882802963256836,4.801142328011338
BS_RoFormer,track_021,other,11.7559,10.4652,6.451578140258789,6.937662601470947,6.971436023712158,4.801142328011338
BS_RoFormer,track_022,vocals,18.3150,19.2112,7.481987953186035,6.507905960083008,6.7584028244018555,3.718830731988419
BS_RoFormer,track_022,drums,10.5190,10.5582,7.182269096374512,4.180568218231201,7.254634380340576,3.718830731988419
BS_RoFormer,track_022,bass,10.9088,10.6280,6.613248825073242,3.614759922027588,6.408176422119141,3.718830731988419
BS_RoFormer,track_022,other,9.6820,8.9635,7.951381683349609,7.579229354858398,7.57118034362793,3.718830731988419
BS_RoFormer,track_023,vocals,13.0843,12.6315,7.19983434677124,5.6302080154418945,6.310786724090576,4.435932605003472
BS_RoFormer,track_023,drums,12.5530,13.2763,7.533459186553955,5.781680107116699,7.757104873657227,4.435932605003472
BS_RoFormer,track_023,bass,12.7440,12.7384,6.808444499969482,3.2329530715942383,6.546445369720459,4.435932605003472
BS_RoFormer,track_023,other,9.1393,8.8576,7.522650718688965,5.959873199462891,7.234405517578125,4.435932605003472
BS_RoFormer,track_024,vocals,14.7865,14.8084,6.782811164855957,5.57759428024292,5.566718578338623,3.273450149979908
BS_RoFormer,track_024,drums,13.9754,14.0255,7.569741249084473,6.173669815063477,7.808895111083984,3.273450149979908
BS_RoFormer,track_024,bass,9.5322,9.2338,5.945401668548584,4.940773963928223,6.146669387817383,3.273450149979908
BS_RoFormer,track_024,other,8.7122,7.7095,5.916107177734375,6.105210781097412,6.621224403381348,3.273450149979908
BS_RoFormer,track_025,vocals,9.2181,9.1620,7.408482551574707,5.208765506744385,6.51157283782959,3.979980328993406
BS_RoFormer,track_025,drums,12.0261,12.0933,6.846663951873779,4.453611373901367,7.101922512054443,3.979980328993406
BS_RoFormer,track_025,bass,14.5887,14.5505,6.018002510070801,4.093661785125732,6.119946002960205,3.979980328993406
BS_RoFormer,track_025,other,11.2166,10.7112,6.433806419372559,5.941929817199707,6.631033420562744,3.979980328993406
BS_RoFormer,track_026,vocals,12.3946,12.4983,7.188056945800781,5.833263397216797,5.713353633880615,4.437577950011473
BS_RoFormer,track_026,drums,17.2686,18.0432,7.542964935302734,5.425498962402344,7.520976543426514,4.437577950011473
BS_RoFormer,track_026,bass,5.0954,4.6642,6.6855058670043945,3.728046178817749,6.287250995635986,4.437577950011473
BS_RoFormer,track_026,other,7.9301,6.3987,7.145796775817871,5.7874321937561035,7.175509929656982,4.437577950011473
BS_RoFormer,track_027,vocals,12.3181,12.5858,7.436196804046631,5.786260604858398,7.118059158325195,5.613148246018682
BS_RoFormer,track_027,drums,15.0567,15.8201,7.543933868408203,4.964980602264404,7.7050628662109375,5.613148246018682
BS_RoFormer,track_027,bass,8.7629,8.4271,7.163074016571045,5.434849262237549,7.077125072479248,5.613148246018682
BS_RoFormer,track_027,other,10.0571,9.2334,6.800483226776123,6.674739837646484,7.024031162261963,5.613148246018682
BS_RoFormer,track_028,vocals,3.7362,1.5821,7.447353363037109,3.4483814239501953,6.482868671417236,2.632670409977436
BS_RoFormer,track_028,drums,12.4858,12.4939,8.005934715270996,6.388792514801025,8.02337646484375,2.632670409977436
BS_RoFormer,track_028,bass,2.4509,-1.2049,7.231472015380859,3.170316457748413,6.634609222412109,2.632670409977436
BS_RoFormer,track_028,other,13.3009,13.6867,6.538755416870117,3.046442747116089,6.166813850402832,2.632670409977436
BS_RoFormer,track_029,vocals,2.3221,1.4054,6.3146820068359375,3.4424359798431396,4.774871826171875,1.1805609770235606
BS_RoFormer,track_029,drums,8.1036,14.7837,8.045866012573242,6.295787334442139,7.96789026260376,1.1805609770235606
BS_RoFormer,track_029,bass,1.0280,-5.0013,6.766722679138184,3.151524543762207,6.071415424346924,1.1805609770235606
