model,track,stem,SDR,SI-SDR,PQ,CE,CU,inference_time_sec
Spleeter,Hollow Ground - Ill Fate,bass,1.3363,-3.5719,5.786372661590576,3.180037260055542,5.686328411102295,42.92878031730652
Spleeter,Hollow Ground - Ill Fate,other,5.4632,4.0010,5.078696250915527,4.97443962097168,5.332400798797607,42.92878031730652
Spleeter,James Elder & Mark M Thompson - The English Actor,vocals,6.6606,6.4243,5.871204376220703,4.117855072021484,5.296707630157471,54.925169706344604
Spleeter,James Elder & Mark M Thompson - The English Actor,drums,7.6727,7.2129,6.885201454162598,4.65730619430542,7.147876262664795,54.925169706344604
Spleeter,James Elder & Mark M Thompson - The English Actor,bass,4.9593,3.4957,6.655792713165283,3.3558831214904785,6.4602179527282715,54.925169706344604
Spleeter,James Elder & Mark M Thompson - The English Actor,other,5.7673,4.9345,6.578489303588867,6.082211494445801,6.838440895080566,54.925169706344604
Spleeter,Juliet's Rescue - Heartbeats,vocals,8.5300,7.2914,5.432031631469727,4.0367655754089355,4.78734827041626,65.69581365585327
Spleeter,Juliet's Rescue - Heartbeats,drums,9.1477,9.5224,6.998847007751465,5.0508317947387695,7.009530067443848,65.69581365585327
Spleeter,Juliet's Rescue - Heartbeats,bass,2.3014,-1.0732,5.98087215423584,3.374800682067871,5.743988037109375,65.69581365585327
Spleeter,Juliet's Rescue - Heartbeats,other,4.7061,2.1844,5.889618873596191,6.078175067901611,6.174473285675049,65.69581365585327
Spleeter,Little Chicago's Finest - My Own,vocals,9.1607,9.1295,6.751942157745361,4.1706719398498535,5.226937770843506,68.1002745628357
Spleeter,Little Chicago's Finest - My Own,drums,7.0936,6.2628,7.4326066970825195,5.608006954193115,7.347224235534668,68.1002745628357
Spleeter,Little Chicago's Finest - My Own,bass,3.7313,2.4484,6.4549407958984375,2.9120681285858154,5.931388854980469,68.1002745628357
Spleeter,Little Chicago's Finest - My Own,other,5.5274,2.5870,6.800522327423096,6.031640529632568,6.60813045501709,68.1002745628357
Spleeter,Louis Cressy Band - Good Time,vocals,7.4146,7.9154,6.340526580810547,3.64880108833313,5.790435314178467,70.86447429656982
Spleeter,Louis Cressy Band - Good Time,drums,7.3397,6.8314,6.174444198608398,3.90398907661438,6.027480602264404,70.86447429656982
Spleeter,Louis Cressy Band - Good Time,bass,5.0139,3.6632,5.5602827072143555,3.152663469314575,5.479205131530762,70.86447429656982
Spleeter,Louis Cressy Band - Good Time,other,7.6996,5.5159,5.788661479949951,6.610954761505127,5.993976593017578,70.86447429656982
Spleeter,Lyndsey Ollard - Catching Up,vocals,12.0380,12.5396,6.549461364746094,5.5153632164001465,5.677929401397705,58.44234037399292
Spleeter,Lyndsey Ollard - Catching Up,drums,5.9690,5.0570,6.8945159912109375,3.88569974899292,6.7659382820129395,58.44234037399292
Spleeter,Lyndsey Ollard - Catching Up,bass,6.2005,5.4558,6.555912971496582,3.2693891525268555,6.330613136291504,58.44234037399292
Spleeter,Lyndsey Ollard - Catching Up,other,4.8998,3.1706,7.130799293518066,6.908456802368164,6.316591739654541,58.44234037399292
Spleeter,M.E.R.C. Music - Knockout,vocals,8.6754,7.3007,6.614070892333984,4.990238189697266,5.638661861419678,67.01616549491882
Spleeter,M.E.R.C. Music - Knockout,drums,6.0820,5.0148,6.712019443511963,4.215736389160156,6.709141731262207,67.01616549491882
Spleeter,M.E.R.C. Music - Knockout,bass,4.6263,3.3035,6.709202289581299,3.201287269592285,6.325664043426514,67.01616549491882
Spleeter,M.E.R.C. Music - Knockout,other,5.4347,4.0375,7.1016764640808105,5.274443626403809,6.823581695556641,67.01616549491882
Spleeter,Moosmusic - Big Dummy Shake,vocals,9.2862,9.0035,5.322481155395508,4.109194755554199,4.444088935852051,59.95395660400391
Spleeter,Moosmusic - Big Dummy Shake,drums,7.9381,7.3441,6.678842544555664,5.166688919067383,7.064177989959717,59.95395660400391
Spleeter,Moosmusic - Big Dummy Shake,bass,4.0857,2.0763,5.587745189666748,3.489631175994873,5.5948381423950195,59.95395660400391
Spleeter,Moosmusic - Big Dummy Shake,other,5.0628,3.1045,5.652657508850098,6.413670539855957,6.179778575897217,59.95395660400391
Spleeter,Motor Tapes - Shore,vocals,6.7420,6.4410,6.956826686859131,4.318639755249023,5.882122993469238,61.0888102054596
Spleeter,Motor Tapes - Shore,drums,4.3368,2.4407,6.369759559631348,3.3538994789123535,6.16583251953125,61.0888102054596
Spleeter,Motor Tapes - Shore,bass,7.5261,7.0926,6.08283805847168,3.706209182739258,6.128785133361816,61.0888102054596
Spleeter,Motor Tapes - Shore,other,8.6654,8.1386,6.175390243530273,5.81980562210083,6.243470191955566,61.0888102054596
Spleeter,Mu - Too Bright,vocals,6.3762,6.8082,6.298865795135498,4.596118927001953,4.852982044219971,79.9807357788086
Spleeter,Mu - Too Bright,drums,10.9785,11.6043,7.276891708374023,5.013328552246094,7.214822292327881,79.9807357788086
Spleeter,Mu - Too Bright,bass,2.9251,1.0918,6.177507400512695,3.253929615020752,5.857573509216309,79.9807357788086
Spleeter,Mu - Too Bright,other,3.8461,1.9641,6.920072078704834,5.641972541809082,6.728084564208984,79.9807357788086
Spleeter,Nerve 9 - Pray For The Rain,vocals,7.3521,7.2059,7.016730308532715,5.429637432098389,6.675798416137695,104.98688125610352
Spleeter,Nerve 9 - Pray For The Rain,drums,8.6239,8.3290,6.888339519500732,3.419292449951172,6.638346195220947,104.98688125610352
Spleeter,Nerve 9 - Pray For The Rain,bass,4.7207,3.2021,6.4535932540893555,3.9401345252990723,6.376170635223389,104.98688125610352
Spleeter,Nerve 9 - Pray For The Rain,other,5.8823,4.7297,6.556082725524902,6.475970268249512,6.631775856018066,104.98688125610352
Spleeter,PR - Happy Daze,vocals,-4.8971,-24.8102,5.714296340942383,3.0417447090148926,4.899955749511719,45.76416826248169
Spleeter,PR - Happy Daze,drums,12.1624,12.0054,7.983404636383057,6.5381693840026855,7.973426818847656,45.76416826248169
Spleeter,PR - Happy Daze,bass,3.4057,1.1537,5.943145751953125,2.9517996311187744,5.1727166175842285,45.76416826248169
Spleeter,PR - Happy Daze,other,3.0130,0.1271,4.666641712188721,2.754852771759033,4.251551151275635,45.76416826248169
