model,track,stem,SDR,SI-SDR,PQ,CE,CU,inference_time_sec
Open-Unmix,track_031,vocals,4.5694,3.1193,6.66586446762085,6.022440433502197,6.066311359405518,
Open-Unmix,track_031,drums,5.3399,3.7972,6.6344122886657715,5.12075138092041,6.9501752853393555,
Open-Unmix,track_031,bass,5.0436,4.2051,5.2750935554504395,3.209557056427002,4.869098663330078,
Open-Unmix,track_031,other,3.4627,0.7519,4.990773677825928,4.945493221282959,5.356881618499756,
Open-Unmix,track_032,vocals,8.5153,8.7633,6.983963489532471,4.858585834503174,5.974505424499512,
Open-Unmix,track_032,drums,3.9794,1.9044,6.944272518157959,3.969139575958252,6.700695514678955,
Open-Unmix,track_032,bass,8.0810,7.5680,5.588263034820557,3.0334761142730713,5.037655353546143,
Open-Unmix,track_032,other,5.4405,3.8418,7.444379806518555,6.500724792480469,7.115796089172363,
Open-Unmix,track_033,vocals,5.7260,4.8283,6.77772331237793,5.27786922454834,5.890075206756592,
Open-Unmix,track_033,drums,4.2015,2.4595,6.7616496086120605,4.719022750854492,6.71674108505249,
Open-Unmix,track_033,bass,3.9489,1.8556,5.675280570983887,3.3631913661956787,5.373399257659912,
Open-Unmix,track_033,other,6.7461,5.7214,7.401993274688721,7.169047832489014,7.314006328582764,
Open-Unmix,track_034,vocals,6.1894,6.0986,6.027622222900391,5.009929656982422,5.162847995758057,
Open-Unmix,track_034,drums,5.5563,4.6158,6.445456504821777,5.612762451171875,6.972282886505127,
Open-Unmix,track_034,bass,9.2216,9.1732,5.057069301605225,3.676828622817993,5.053898334503174,
Open-Unmix,track_034,other,5.9210,4.6360,6.342894077301025,6.567034721374512,6.425508499145508,
Open-Unmix,track_035,vocals,8.5289,8.6282,7.358579635620117,5.21358585357666,6.201294898986816,
Open-Unmix,track_035,drums,10.7427,10.9379,7.232333183288574,6.081392765045166,7.2685546875,
Open-Unmix,track_035,bass,5.7978,5.3546,4.660332202911377,3.0550148487091064,4.866890907287598,
Open-Unmix,track_035,other,0.8093,-7.5523,6.5725908279418945,3.425771951675415,5.853483200073242,
Open-Unmix,track_036,vocals,8.6172,8.7508,6.670563220977783,6.118378639221191,6.322793960571289,
Open-Unmix,track_036,drums,3.3674,0.9969,6.371429443359375,3.944749116897583,6.343430995941162,
Open-Unmix,track_036,bass,2.3173,0.3581,5.4145402908325195,3.371279716491699,5.175732612609863,
Open-Unmix,track_036,other,5.1036,2.1746,6.792923927307129,6.835443496704102,6.565629005432129,
Open-Unmix,track_037,vocals,-0.0148,-16.2710,6.676512718200684,5.546012878417969,6.106387138366699,
Open-Unmix,track_037,drums,6.5702,5.7097,7.315124034881592,5.779953479766846,7.61090087890625,
Open-Unmix,track_037,bass,9.8364,9.4546,6.08034610748291,3.5130412578582764,5.962977886199951,
Open-Unmix,track_037,other,2.2163,-0.4848,7.128576755523682,6.534220218658447,7.00153112411499,
Open-Unmix,track_038,vocals,3.2993,1.2960,6.487052917480469,6.318326473236084,7.045960903167725,
