stem,n_tracks,SDR_mean,SDR_median,SDR_std,SI-SDR_mean,SI-SDR_median,SI-SDR_std,PQ_mean,PQ_median,PQ_std,CE_mean,CE_median,CE_std,CU_mean,CU_median,CU_std
vocals,50,6.2123,6.5771,2.7116,4.8433,6.1123,5.1524,6.5197,6.6682,0.4936,4.8672,5.0677,0.9588,5.7796,5.9577,0.6659
drums,50,6.4086,5.9435,2.6347,5.4231,5.2002,3.6495,6.7551,6.6765,0.5031,5.0166,5.1193,0.9024,6.8747,6.9551,0.5072
bass,50,4.7803,4.7007,3.2794,3.0457,3.2699,4.7948,5.4856,5.5754,0.5788,3.4275,3.3605,0.4698,5.2501,5.3118,0.4924
other,50,3.8253,4.3291,2.0418,0.5159,2.3822,4.9419,6.4953,6.5608,0.6749,5.8817,6.3066,1.0453,6.4674,6.6671,0.5706
